Time,Type,Consumer_ID,Route_ID,Content_name,Data_hop,Path,Result,Hit_consumer,Hit_PIT,Hit_Miss
5,data,C3,R3,r3/34,1,p3/,Data miss in PIT,0,0,1
5,data,C5,R5,r5/13,1,p5/,Data miss in PIT,0,0,1
5,data,C9,R9,r9/89,1,p9/,Data miss in PIT,0,0,1
5,data,C7,R7,r7/36,1,p7/,Data miss in PIT,0,0,1
5,data,C4,R6,r6/35,1,p6/,Data hit in consumer,1,0,0
5,data,C9,R10,r10/22,1,p10/,Data hit in consumer,1,0,0
5,data,C2,R1,r1/10,1,p1/,Data hit in consumer,1,0,0
5,data,C4,R2,r2/99,1,p2/,Data hit in consumer,1,0,0
6,data,C4,R6,r6/82,1,p6/,Data hit in consumer,1,0,0
6,data,C10,R9,r9/14,1,p9/,Data hit in consumer,1,0,0
6,data,C2,R1,r1/74,1,p1/,Data hit in consumer,1,0,0
6,data,C8,R5,r5/0,1,p5/,Data hit in consumer,1,0,0
6,data,C6,R4,r2/8,2,p2/4/,Data hit in PIT,0,1,0
7,data,C8,R5,r3/44,2,p3/5/,Data hit in PIT,0,1,0
7,data,C9,R11,r10/22,2,p10/11/,Data hit in PIT,0,1,0
7,data,C2,R4,r6/91,2,p6/4/,Data hit in PIT,0,1,0
7,data,C6,R4,r2/8,2,p2/4/,Data hit in consumer,1,0,0
7,data,C11,R10,r9/1,2,p9/10/,Data hit in PIT,0,1,0
7,data,C5,R3,r1/33,2,p1/3/,Data hit in PIT,0,1,0
8,data,C9,R5,r4/44,2,p4/5/,Data hit in PIT,0,1,0
8,data,C8,R5,r3/44,2,p3/5/,Data hit in consumer,1,0,0
8,data,C9,R7,r10/22,3,p10/11/7/,Data hit in PIT,0,1,0
8,data,C11,R10,r9/1,2,p9/10/,Data hit in consumer,1,0,0
8,data,C2,R4,r6/91,2,p6/4/,Data hit in consumer,1,0,0
8,data,C9,R10,r10/22,1,p10/,Data hit in consumer,1,0,0
8,data,C11,R8,r9/1,2,p9/8/,Data hit in PIT,0,1,0
8,data,C5,R0,r1/33,2,p1/0/,Data hit in PIT,0,1,0
9,data,C1,R7,r8/5,2,p8/7/,Data hit in PIT,0,1,0
9,data,C0,R6,r7/56,2,p7/6/,Data hit in PIT,0,1,0
9,data,C6,R4,r2/56,2,p2/4/,Data hit in PIT,0,1,0
9,data,C1,R11,r10/96,2,p10/11/,Data hit in PIT,0,1,0
9,data,C9,R8,r4/44,3,p4/5/8/,Data hit in PIT,0,1,0
9,data,C10,R3,r0/79,2,p0/3/,Data hit in PIT,0,1,0
9,data,C5,R2,r1/33,2,p1/2/,Data hit in PIT,0,1,0
9,data,C5,R3,r1/33,2,p1/3/,Data miss in PIT,0,0,1
10,data,C9,R6,r4/44,2,p4/6/,Data hit in PIT,0,1,0
10,data,C1,R11,r8/5,3,p8/7/11/,Data hit in PIT,0,1,0
10,data,C9,R8,r4/44,3,p4/5/8/,Data hit in consumer,1,0,0
10,data,C5,R0,r1/33,2,p1/0/,Data miss in PIT,0,0,1
10,data,C9,R3,r4/44,3,p4/5/3/,Data hit in PIT,0,1,0
11,data,C2,R1,r1/10,1,p1/,Data hit in consumer,1,0,0
11,data,C6,R5,r3/20,2,p3/5/,Data hit in PIT,0,1,0
11,data,C9,R9,r9/3,1,p9/,Data miss in PIT,0,0,1
11,data,C0,R7,r11/13,2,p11/7/,Data hit in PIT,0,1,0
11,data,C7,R4,r2/49,2,p2/4/,Data hit in PIT,0,1,0
11,data,C3,R6,r7/65,2,p7/6/,Data hit in PIT,0,1,0
11,data,C1,R10,r8/5,4,p8/7/11/10/,Data hit in PIT,0,1,0
11,data,C7,R11,r10/90,2,p10/11/,Data hit in PIT,0,1,0
11,data,C9,R8,r10/22,4,p10/11/7/8/,Data hit in PIT,0,1,0
11,data,C9,R0,r4/44,4,p4/5/3/0/,Data hit in PIT,0,1,0
12,data,C2,R1,r1/74,1,p1/,Data hit in consumer,1,0,0
12,data,C1,R7,r8/62,2,p8/7/,Data hit in PIT,0,1,0
