Time,Type,Interest_ID,Consumer_ID,Route_ID,Content_name,Interest_hop,Path,Result,Hit,Miss
3,interest,I110000,C11,R11,r3/16,0,p11,Miss in PS,0,1
3,interest,I00000,C0,R0,r11/13,0,p0,Miss in PS,0,1
3,interest,I10000,C1,R1,r10/96,0,p1,Miss in PS,0,1
3,interest,I30000,C3,R3,r3/34,0,p3,Hit in PS,1,0
3,interest,I40000,C4,R4,r6/35,0,p4,Miss in PS,0,1
3,interest,I20000,C2,R2,r6/91,0,p2,Miss in PS,0,1
3,interest,I60000,C6,R6,r2/8,0,p6,Miss in PS,0,1
3,interest,I50000,C5,R5,r1/33,0,p5,Miss in PS,0,1
3,interest,I110000,C11,R11,r3/16,1,p11/11,Miss in PS,0,1
3,interest,I00001,C0,R0,r7/56,0,p0,Miss in PS,0,1
3,interest,I110000,C11,R11,r3/16,1,p11/11,Miss in PS,0,1
3,interest,I110001,C11,R11,r9/1,0,p11,Miss in PS,0,1
3,interest,I80000,C8,R8,r2/3,0,p8,Miss in PS,0,1
3,interest,I10001,C1,R1,r8/5,0,p1,Miss in PS,0,1
3,interest,I90000,C9,R9,r4/44,0,p9,Miss in PS,0,1
3,interest,I60001,C6,R6,r2/56,0,p6,Miss in PS,0,1
3,interest,I50001,C5,R5,r5/13,0,p5,Hit in PS,1,0
3,interest,I20001,C2,R2,r1/10,0,p2,Miss in PS,0,1
3,interest,I00002,C0,R0,r6/99,0,p0,Miss in PS,0,1
3,interest,I70000,C7,R7,r1/83,0,p7,Miss in PS,0,1
3,interest,I100000,C10,R10,r1/79,0,p10,Miss in PS,0,1
3,interest,I40001,C4,R4,r6/82,0,p4,Miss in PS,0,1
3,interest,I90001,C9,R9,r10/22,0,p9,Miss in PS,0,1
3,interest,I110002,C11,R11,r1/75,0,p11,Miss in PS,0,1
3,interest,I60002,C6,R6,r3/20,0,p6,Miss in PS,0,1
3,interest,I100001,C10,R10,r0/79,0,p10,Miss in PS,0,1
3,interest,I10000,C1,R1,r10/96,1,p1/1,Miss in PS,0,1
3,interest,I80001,C8,R8,r3/44,0,p8,Miss in PS,0,1
3,interest,I10002,C1,R1,r8/62,0,p1,Miss in PS,0,1
3,interest,I20002,C2,R2,r1/74,0,p2,Miss in PS,0,1
3,interest,I40002,C4,R4,r2/99,0,p4,Miss in PS,0,1
