Time,Type,Interest_ID,Consumer_ID,Route_ID,Content_name,Interest_hop,Path,Result,Hit,Miss
0,interest,00000,0,0,r4/1,0,p0,Miss in PS,0,1
0,interest,00000,0,0,r4/1,1,p0/0,Miss in PS,0,1
0,interest,00001,0,0,r7/7,0,p0,Miss in PS,0,1
0,interest,00000,0,0,r4/1,1,p0/0,Miss in PS,0,1
0,interest,00000,0,1,r4/1,2,p0/0/1,Miss in PS,0,1
0,interest,00002,0,0,r5/9,0,p0,Miss in PS,0,1
0,interest,00001,0,0,r7/7,1,p0/0,Miss in PS,0,1
0,interest,00000,0,2,r4/1,3,p0/0/1/2,Hit in PS,1,0
0,interest,00001,0,0,r7/7,1,p0/0,Miss in PS,0,1
0,interest,00003,0,0,r10/2,0,p0,Miss in PS,0,1
0,interest,00001,0,1,r7/7,2,p0/0/1,Miss in PS,0,1
0,interest,00000,0,3,r4/1,2,p0/0/3,Miss in PS,0,1
0,interest,00000,0,2,r4/1,3,p0/0/1/2,Miss in PS,0,1
0,interest,00000,0,3,r4/1,2,p0/0/3,Miss in PS,0,1
0,interest,00002,0,0,r5/9,1,p0/0,Miss in PS,0,1
0,interest,00004,0,0,r7/8,0,p0,Miss in PS,0,1
0,interest,00000,0,1,r4/1,2,p0/0/1,Miss in PS,0,1
0,interest,00002,0,0,r5/9,1,p0/0,Miss in PS,0,1
0,interest,00002,0,1,r5/9,2,p0/0/1,Miss in PS,0,1
0,interest,00003,0,0,r10/2,1,p0/0,Miss in PS,0,1
0,interest,00001,0,3,r7/7,2,p0/0/3,Miss in PS,0,1
0,interest,00000,0,1,r4/1,2,p0/0/1,Miss in PS,0,1
0,interest,00000,0,3,r4/1,2,p0/0/3,Miss in PS,0,1
0,interest,00001,0,1,r7/7,2,p0/0/1,Miss in PS,0,1
0,interest,00001,0,3,r7/7,2,p0/0/3,Miss in PS,0,1
0,interest,00002,0,1,r5/9,2,p0/0/1,Miss in PS,0,1
0,interest,00002,0,3,r5/9,2,p0/0/3,Miss in PS,0,1
0,interest,00001,0,1,r7/7,2,p0/0/1,Miss in PS,0,1
0,interest,00000,0,5,r4/1,3,p0/0/3/5,Miss in PS,0,1
0,interest,00003,0,0,r10/2,1,p0/0,Miss in PS,0,1
0,interest,00003,0,1,r10/2,2,p0/0/1,Miss in PS,0,1
0,interest,00000,0,5,r4/1,3,p0/0/3/5,Miss in PS,0,1
0,interest,00002,0,3,r5/9,2,p0/0/3,Hit in PS,1,0
0,interest,00003,0,3,r10/2,2,p0/0/3,Miss in PS,0,1
0,interest,00003,0,1,r10/2,2,p0/0/1,Miss in PS,0,1
0,interest,00001,0,2,r7/7,3,p0/0/1/2,Miss in PS,0,1
0,interest,00001,0,3,r7/7,2,p0/0/3,Miss in PS,0,1
0,interest,00004,0,0,r7/8,1,p0/0,Miss in PS,0,1
0,interest,00002,0,1,r5/9,2,p0/0/1,Miss in PS,0,1
0,interest,00004,0,0,r7/8,1,p0/0,Miss in PS,0,1
0,interest,00004,0,1,r7/8,2,p0/0/1,Miss in PS,0,1
0,interest,00004,0,3,r7/8,2,p0/0/3,Miss in PS,0,1
0,interest,00004,0,1,r7/8,2,p0/0/1,Miss in PS,0,1
0,interest,00002,0,2,r5/9,3,p0/0/1/2,Miss in PS,0,1
0,interest,00002,0,3,r5/9,2,p0/0/3,Miss in PS,0,1
0,interest,00003,0,3,r10/2,2,p0/0/3,Miss in PS,0,1
0,interest,00003,0,2,r10/2,3,p0/0/1/2,Miss in PS,0,1
0,interest,00004,0,3,r7/8,2,p0/0/3,Miss in PS,0,1
0,interest,00001,0,5,r7/7,3,p0/0/3/5,Miss in PS,0,1
0,interest,00003,0,1,r10/2,2,p0/0/1,Miss in PS,0,1
0,interest,00004,0,1,r7/8,2,p0/0/1,Miss in PS,0,1
0,interest,00004,0,2,r7/8,3,p0/0/1/2,Miss in PS,0,1
1,interest,00000,0,0,r4/1,0,p0,Miss in PS,0,1
1,interest,00001,0,0,r7/7,0,p0,Miss in PS,0,1
1,interest,00002,0,0,r5/9,0,p0,Miss in PS,0,1
1,interest,00003,0,0,r10/2,0,p0,Miss in PS,0,1
1,interest,00004,0,0,r7/8,0,p0,Miss in PS,0,1
1,interest,00001,0,2,r7/7,3,p0/0/1/2,Miss in PS,0,1
1,interest,00001,0,4,r7/7,4,p0/0/1/2/4,Miss in PS,0,1
1,interest,00000,0,5,r4/1,3,p0/0/3/5,Hit in PS,1,0
1,interest,00001,0,4,r7/7,4,p0/0/1/2/4,Miss in PS,0,1
1,interest,00001,0,6,r7/7,5,p0/0/1/2/4/6,Hit in PS,1,0
1,interest,00001,0,5,r7/7,3,p0/0/3/5,Miss in PS,0,1
1,interest,00003,0,3,r10/2,2,p0/0/3,Miss in PS,0,1
1,interest,00003,0,5,r10/2,3,p0/0/3/5,Miss in PS,0,1
1,interest,00004,0,3,r7/8,2,p0/0/3,Miss in PS,0,1
1,interest,00004,0,5,r7/8,3,p0/0/3/5,Miss in PS,0,1
1,interest,00001,0,4,r7/7,4,p0/0/1/2/4,Miss in PS,0,1
1,interest,00003,0,5,r10/2,3,p0/0/3/5,Miss in PS,0,1
1,interest,00004,0,5,r7/8,3,p0/0/3/5,Miss in PS,0,1
2,interest,00000,0,0,r4/1,0,p0,Miss in PS,0,1
2,interest,00001,0,0,r7/7,0,p0,Miss in PS,0,1
2,interest,00002,0,0,r5/9,0,p0,Miss in PS,0,1
2,interest,00003,0,0,r10/2,0,p0,Miss in PS,0,1
2,interest,00004,0,0,r7/8,0,p0,Miss in PS,0,1
2,interest,00002,0,2,r5/9,3,p0/0/1/2,Miss in PS,0,1
2,interest,00002,0,4,r5/9,4,p0/0/1/2/4,Miss in PS,0,1
2,interest,00002,0,4,r5/9,4,p0/0/1/2/4,Hit in PS,1,0
2,interest,00001,0,5,r7/7,3,p0/0/3/5,Miss in PS,0,1
2,interest,00003,0,2,r10/2,3,p0/0/1/2,Miss in PS,0,1
2,interest,00002,0,4,r5/9,4,p0/0/1/2/4,Miss in PS,0,1
2,interest,00003,0,4,r10/2,4,p0/0/1/2/4,Miss in PS,0,1
